Response ID,Time Started,Date Submitted,Status,Legacy Comments,Comments,Language,Referer,User Agent,Tags,Chrome desktop:A web feature must be supported by these browsers before you can use it:,Chrome on Android:A web feature must be supported by these browsers before you can use it:,Android Webview:A web feature must be supported by these browsers before you can use it:,Firefox desktop:A web feature must be supported by these browsers before you can use it:,Firefox on Android:A web feature must be supported by these browsers before you can use it:,Edge desktop:A web feature must be supported by these browsers before you can use it:,Internet Explorer:A web feature must be supported by these browsers before you can use it:,Safari desktop:A web feature must be supported by these browsers before you can use it:,Safari on iOS:A web feature must be supported by these browsers before you can use it:,Opera desktop:A web feature must be supported by these browsers before you can use it:,Opera on Android:A web feature must be supported by these browsers before you can use it:,Samsung Internet:A web feature must be supported by these browsers before you can use it:,Other - Please specify:A web feature must be supported by these browsers before you can use it:,Other - Please specify:A web feature must be supported by these browsers before you can use it:,Other - Please specify:A web feature must be supported by these browsers before you can use it:,Other - Please specify:A web feature must be supported by these browsers before you can use it:,"For those browsers, how far back do they need to support a feature before you can use it?","Do you need other browsers to be included in the compatibility tables on MDN? If so, tell us which ones:",How important is it for you to know about browser support for experimental features that must be enabled by the user?,How important is it for you to know whether a browser is planning to ship a feature behind a user preference in an upcoming release?
3,"Oct 13, 2022 7:21:41 pm","Oct 13, 2022 7:21:42 pm",Complete,,,English,https://survey.alchemer.com/s3/7049440/Short-survey-browsers,,,Chrome desktop,Chrome on Android,,,,Edge desktop,,Safari desktop,Safari on iOS,,,,,,,,Current major version is enough,Tencent TBS(X5),Neutral,Neutral
4,"Oct 13, 2022 10:09:11 pm","Oct 13, 2022 10:09:11 pm",Complete,,,English,https://survey.alchemer.com/s3/7049440/Short-survey-browsers,,,Chrome desktop,,,Firefox desktop,,Edge desktop,,,,,,,,,,,Depends on the browser,,Neutral,Neutral
5,"Oct 14, 2022 2:07:57 am","Oct 14, 2022 2:07:57 am",Complete,,,English,https://survey.alchemer.com/s3/7049440/Short-survey-browsers,,,Chrome desktop,Chrome on Android,Android Webview,Firefox desktop,Firefox on Android,,,Safari desktop,Safari on iOS,,,,,,,,Needs to be supported in more than current and previous major version,,Somewhat important,Very important
6,"Oct 14, 2022 3:03:21 am","Oct 14, 2022 3:03:21 am",Complete,,,English,https://survey.alchemer.com/s3/7049440/Short-survey-browsers,,,Chrome desktop,Chrome on Android,,Firefox desktop,,Edge desktop,,,,,,,,,,,Needs to be supported in current and previous major version,,Somewhat important,Somewhat important
7,"Oct 14, 2022 3:05:09 am","Oct 14, 2022 3:05:09 am",Complete,,,English,https://survey.alchemer.com/s3/7049440/Short-survey-browsers,,,Chrome desktop,,,Firefox desktop,,,,Safari desktop,,,,,,,,,Needs to be supported in current and previous major version,,Somewhat important,Somewhat important
8,"Oct 14, 2022 3:14:37 am","Oct 14, 2022 3:14:37 am",Complete,,,English,https://developer.mozilla.org/,,,Chrome desktop,Chrome on Android,Android Webview,Firefox desktop,Firefox on Android,,,Safari desktop,Safari on iOS,,,,,,,,Current major version is enough,,Somewhat important,Neutral
9,"Oct 14, 2022 5:28:25 am","Oct 14, 2022 5:28:25 am",Complete,,,English,https://survey.alchemer.com/s3/7049440/Short-survey-browsers,,,Chrome desktop,,,Firefox desktop,,,,Safari desktop,,,,,,,,,Current major version is enough,,Not important,Not important
10,"Oct 14, 2022 5:40:06 am","Oct 14, 2022 5:40:06 am",Complete,,,English,https://survey.alchemer.com/s3/7049440/Short-survey-browsers,,,Chrome desktop,,,Firefox desktop,,Edge desktop,,,,,,,,,,,Current major version is enough,,Somewhat important,Not important
11,"Oct 14, 2022 6:38:32 am","Oct 14, 2022 6:38:32 am",Complete,,,English,https://survey.alchemer.com/s3/7049440/Short-survey-browsers,,,Chrome desktop,Chrome on Android,,Firefox desktop,,,,Safari desktop,Safari on iOS,,,,,,,,Needs to be supported in more than current and previous major version,,Not important,Not important
12,"Oct 14, 2022 7:49:05 am","Oct 14, 2022 7:49:05 am",Complete,,,English,https://survey.alchemer.com/s3/7049440/Short-survey-browsers,,,,,,,Firefox on Android,,,,,,,,,,,,Needs to be supported in current and previous major version,,Neutral,Somewhat important
13,"Oct 14, 2022 8:27:37 am","Oct 14, 2022 8:27:37 am",Complete,,,English,https://survey.alchemer.com/s3/7049440/Short-survey-browsers,,,Chrome desktop,Chrome on Android,,Firefox desktop,Firefox on Android,Edge desktop,,,,,,,,,,,Needs to be supported in current and previous major version,,Somewhat important,Somewhat important
14,"Oct 14, 2022 1:16:11 pm","Oct 14, 2022 1:16:11 pm",Complete,,,English,https://survey.alchemer.com/s3/7049440/Short-survey-browsers,,,,Chrome on Android,,Firefox desktop,,,,,,,,,,,,,Current major version is enough,,Somewhat important,Neutral
15,"Oct 14, 2022 2:28:51 pm","Oct 14, 2022 2:28:51 pm",Complete,,,English,https://developer.mozilla.org/,,,Chrome desktop,Chrome on Android,Android Webview,Firefox desktop,Firefox on Android,Edge desktop,Internet Explorer,Safari desktop,Safari on iOS,,,Samsung Internet,,,,,Needs to be supported in current and previous major version,,Very important,Neutral
16,"Oct 15, 2022 12:36:22 am","Oct 15, 2022 12:36:22 am",Complete,,,English,https://survey.alchemer.com/s3/7049440/Short-survey-browsers,,,Chrome desktop,,,Firefox desktop,,Edge desktop,,,Safari on iOS,,,,,Other - Please specify,,",""< 	;{",Needs to be supported in more than current and previous major version,,Somewhat important,Somewhat important
17,"Oct 15, 2022 2:29:50 am","Oct 15, 2022 2:29:50 am",Complete,,,English,https://survey.alchemer.com/s3/7049440/Short-survey-browsers,,,Chrome desktop,Chrome on Android,,Firefox desktop,,Edge desktop,,,,Opera desktop,,,,,,,Current major version is enough,,Very important,Very important
18,"Oct 15, 2022 4:24:57 am","Oct 15, 2022 4:24:57 am",Complete,,,English,https://survey.alchemer.com/s3/7049440/Short-survey-browsers,,,Chrome desktop,,,Firefox desktop,,Edge desktop,,Safari desktop,Safari on iOS,,,,,,,,Needs to be supported in current and previous major version,,Neutral,Somewhat important
19,"Oct 15, 2022 5:43:49 am","Oct 15, 2022 5:43:50 am",Complete,,,English,https://developer.mozilla.org/,,,Chrome desktop,Chrome on Android,,Firefox desktop,Firefox on Android,Edge desktop,,,,,,,,,,,Needs to be supported in more than current and previous major version,brave,Somewhat important,Very important
20,"Oct 15, 2022 8:46:58 am","Oct 15, 2022 8:46:58 am",Complete,,,English,https://survey.alchemer.com/s3/7049440/Short-survey-browsers,,,Chrome desktop,Chrome on Android,Android Webview,Firefox desktop,Firefox on Android,Edge desktop,,Safari desktop,Safari on iOS,,,,,,,,Needs to be supported in more than current and previous major version,,Neutral,Somewhat important
21,"Oct 15, 2022 10:14:18 am","Oct 15, 2022 10:14:18 am",Complete,,,English,https://survey.alchemer.com/s3/7049440/Short-survey-browsers,,,Chrome desktop,,,,,,,,,,,,,,,,Current major version is enough,,Somewhat important,Very important
22,"Oct 15, 2022 1:15:26 pm","Oct 15, 2022 1:15:26 pm",Complete,,,English,https://survey.alchemer.com/s3/7049440/Short-survey-browsers,,,Chrome desktop,Chrome on Android,,Firefox desktop,Firefox on Android,,,,,,,,,,,,Current major version is enough,,Somewhat important,Somewhat important
23,"Oct 15, 2022 5:51:30 pm","Oct 15, 2022 5:51:30 pm",Complete,,,English,https://survey.alchemer.com/s3/7049440/Short-survey-browsers,,,Chrome desktop,,,Firefox desktop,,Edge desktop,,Safari desktop,,Opera desktop,,,,,,,Needs to be supported in current and previous major version,,Not important,Very important
24,"Oct 15, 2022 7:07:24 pm","Oct 15, 2022 7:07:24 pm",Complete,,,English,https://survey.alchemer.com/s3/7049440/Short-survey-browsers,,,Chrome desktop,Chrome on Android,,Firefox desktop,,Edge desktop,,,,,,,,,,,Needs to be supported in more than current and previous major version,,Very important,Very important
25,"Oct 15, 2022 10:50:22 pm","Oct 15, 2022 10:50:22 pm",Complete,,,English,https://survey.alchemer.com/s3/7049440/Short-survey-browsers,,,Chrome desktop,Chrome on Android,Android Webview,Firefox desktop,Firefox on Android,Edge desktop,,Safari desktop,Safari on iOS,,,,,,,,Needs to be supported in current and previous major version,,Not important,Not important
