Response ID,Time Started,Date Submitted,Status,Language,"What's your experience with Web Components (custom elements, shadow DOM, etc.)?","Children changed callback:For your needs as a developer, which Web Components features should be improved across browsers in the coming year? This means enabling support or fixing bugs. (This is not a complete list, other features may also be planned.)","Composed selection:For your needs as a developer, which Web Components features should be improved across browsers in the coming year? This means enabling support or fixing bugs. (This is not a complete list, other features may also be planned.)","Constructable stylesheets & adoptedStyleSheets:For your needs as a developer, which Web Components features should be improved across browsers in the coming year? This means enabling support or fixing bugs. (This is not a complete list, other features may also be planned.)","Cross-root ARIA:For your needs as a developer, which Web Components features should be improved across browsers in the coming year? This means enabling support or fixing bugs. (This is not a complete list, other features may also be planned.)","CSS module scripts:For your needs as a developer, which Web Components features should be improved across browsers in the coming year? This means enabling support or fixing bugs. (This is not a complete list, other features may also be planned.)","CSS Properties and Values API inside shadow root:For your needs as a developer, which Web Components features should be improved across browsers in the coming year? This means enabling support or fixing bugs. (This is not a complete list, other features may also be planned.)","Custom attributes:For your needs as a developer, which Web Components features should be improved across browsers in the coming year? This means enabling support or fixing bugs. (This is not a complete list, other features may also be planned.)","Custom CSS state:For your needs as a developer, which Web Components features should be improved across browsers in the coming year? This means enabling support or fixing bugs. (This is not a complete list, other features may also be planned.)","Custom SVG/MathML elements:For your needs as a developer, which Web Components features should be improved across browsers in the coming year? This means enabling support or fixing bugs. (This is not a complete list, other features may also be planned.)","Declarative CSS modules:For your needs as a developer, which Web Components features should be improved across browsers in the coming year? This means enabling support or fixing bugs. (This is not a complete list, other features may also be planned.)","Declarative custom elements:For your needs as a developer, which Web Components features should be improved across browsers in the coming year? This means enabling support or fixing bugs. (This is not a complete list, other features may also be planned.)","Declarative shadow DOM:For your needs as a developer, which Web Components features should be improved across browsers in the coming year? This means enabling support or fixing bugs. (This is not a complete list, other features may also be planned.)","Form-Associated custom elements:For your needs as a developer, which Web Components features should be improved across browsers in the coming year? This means enabling support or fixing bugs. (This is not a complete list, other features may also be planned.)","HTML modules:For your needs as a developer, which Web Components features should be improved across browsers in the coming year? This means enabling support or fixing bugs. (This is not a complete list, other features may also be planned.)","Imperative slot assignment:For your needs as a developer, which Web Components features should be improved across browsers in the coming year? This means enabling support or fixing bugs. (This is not a complete list, other features may also be planned.)","Lazy custom element definitions:For your needs as a developer, which Web Components features should be improved across browsers in the coming year? This means enabling support or fixing bugs. (This is not a complete list, other features may also be planned.)","Open styling of shadow roots:For your needs as a developer, which Web Components features should be improved across browsers in the coming year? This means enabling support or fixing bugs. (This is not a complete list, other features may also be planned.)","Scoped element registries:For your needs as a developer, which Web Components features should be improved across browsers in the coming year? This means enabling support or fixing bugs. (This is not a complete list, other features may also be planned.)","Styling children of slotted content:For your needs as a developer, which Web Components features should be improved across browsers in the coming year? This means enabling support or fixing bugs. (This is not a complete list, other features may also be planned.)","Template instantiation and updating:For your needs as a developer, which Web Components features should be improved across browsers in the coming year? This means enabling support or fixing bugs. (This is not a complete list, other features may also be planned.)","Theming:For your needs as a developer, which Web Components features should be improved across browsers in the coming year? This means enabling support or fixing bugs. (This is not a complete list, other features may also be planned.)"
2,"Mar 22, 2023 5:03:41 am","Mar 22, 2023 5:03:41 am",Complete,English,Know about them,I don't care/don't know,I don't care/don't know,I need this,I don't need this,I need this,I don't need this,,I don't care/don't know,I don't care/don't know,I don't care/don't know,I don't care/don't know,I don't need this,I don't care/don't know,I don't need this,I don't care/don't know,I don't care/don't know,I don't need this,I don't care/don't know,I don't care/don't know,I don't need this,I need this
3,"Mar 22, 2023 5:05:42 am","Mar 22, 2023 5:05:42 am",Complete,English,Know about them,I don't care/don't know,I don't care/don't know,I don't care/don't know,I need this,I need this,I need this,I need this,I need this,I need this,I need this,I don't care/don't know,I need this,I need this,I need this,I don't care/don't know,I don't care/don't know,I don't care/don't know,I don't care/don't know,I don't care/don't know,I don't care/don't know,I need this
4,"Mar 22, 2023 8:09:57 am","Mar 22, 2023 8:09:57 am",Complete,English,,,,,,,,,,,,,,,,,,,,,,
5,"Mar 22, 2023 8:10:14 am","Mar 22, 2023 8:10:14 am",Complete,English,,,,,,,,,,,,,,,,,,,,,,
6,"Mar 22, 2023 9:58:32 am","Mar 22, 2023 9:58:32 am",Complete,English,Have used them,I need this,I don't need this,I need this,,,I don't care/don't know,I don't care/don't know,,I don't need this,I don't need this,I need this,I need this,,,I don't need this,I don't care/don't know,I don't care/don't know,I don't care/don't know,,I need this,
7,"Mar 22, 2023 10:02:33 am","Mar 22, 2023 10:02:33 am",Complete,English,Have used them,I need this,I don't need this,I need this,,,I don't care/don't know,I don't care/don't know,,I don't need this,I don't need this,I need this,I don't need this,,,I don't need this,I don't care/don't know,I don't care/don't know,I don't care/don't know,,I need this,I don't care/don't know
8,"Mar 22, 2023 10:02:44 am","Mar 22, 2023 10:02:44 am",Complete,English,Know about them,I need this,I don't need this,I need this,,,I don't care/don't know,I don't care/don't know,,I don't need this,I don't need this,I need this,I don't need this,,,I don't need this,I don't care/don't know,I don't care/don't know,I don't care/don't know,,I need this,I don't care/don't know
9,"Mar 22, 2023 10:02:47 am","Mar 22, 2023 10:02:47 am",Complete,English,Know about them,I need this,I don't need this,I need this,,,I don't care/don't know,I don't care/don't know,,I don't need this,I don't need this,I need this,I don't need this,,,I don't need this,I don't care/don't know,I don't care/don't know,I don't care/don't know,,I need this,I don't care/don't know
10,"Mar 23, 2023 5:38:30 am","Mar 23, 2023 5:38:30 am",Partial,English,,,,,,,,,,,,,,,,,,,,,,
11,"Mar 23, 2023 11:51:05 am","Mar 23, 2023 11:51:05 am",Complete,English,Know about them,I don't need this,I need this,I don't care/don't know,I need this,I don't need this,I don't need this,I need this,I don't care/don't know,I don't need this,I don't care/don't know,I need this,I don't care/don't know,I need this,I don't care/don't know,I don't care/don't know,I don't care/don't know,I don't care/don't know,I don't care/don't know,I don't care/don't know,I don't care/don't know,I don't need this
12,"Mar 28, 2023 6:14:00 pm","Mar 28, 2023 6:14:00 pm",Complete,English,Never heard of them,,,,,,,,,,,,,,,,,,,,,
13,"Mar 28, 2023 6:21:43 pm","Mar 28, 2023 6:21:43 pm",Complete,English,Never heard of them,,,,,,,,,,,,,,,,,,,,,
