Response ID,Date Submitted,Referer,"Understanding security threats and how they might apply to your web application:To keep your Web app and its users safe from security vulnerabilities, rate how easy or challenging are the following aspects:","Understanding the security model of Web browsers (e.g. same-origin policy, CORS, permissions policy):To keep your Web app and its users safe from security vulnerabilities, rate how easy or challenging are the following aspects:","Keeping up to date the frameworks and libraries your app depends on:To keep your Web app and its users safe from security vulnerabilities, rate how easy or challenging are the following aspects:","Integrating safely third-party services (e.g. login, payment):To keep your Web app and its users safe from security vulnerabilities, rate how easy or challenging are the following aspects:","Configuring the server to match the required security properties (e.g. SSL, HTTP headers):To keep your Web app and its users safe from security vulnerabilities, rate how easy or challenging are the following aspects:","Detecting security vulnerabilities introduced in your development workflow (e.g. cross-site scripting):To keep your Web app and its users safe from security vulnerabilities, rate how easy or challenging are the following aspects:",What are the other main security-related challenges you're facing when developing and deploying Web content?
1,"May 18, 2023 6:07:40 pm",https://developer.mozilla.org/,Somewhat challenging,Easy,Neutral,Easy,Easy,Somewhat challenging,
2,"May 18, 2023 6:27:47 pm",https://developer.mozilla.org/,Somewhat challenging,Somewhat challenging,Neutral,Easy,Very easy,Neutral,
3,"May 18, 2023 6:33:32 pm",https://developer.mozilla.org/,Somewhat challenging,Somewhat challenging,Neutral,Very challenging,Easy,Somewhat challenging,
4,"May 18, 2023 6:47:54 pm",https://developer.mozilla.org/,Easy,Somewhat challenging,Very challenging,Neutral,Easy,Easy,
5,"May 18, 2023 8:16:02 pm",,Very challenging,Somewhat challenging,Neutral,Somewhat challenging,Easy,Somewhat challenging,
6,"May 18, 2023 8:31:47 pm",https://survey.alchemer.com/s3/7348686/MDN-Web-Security-short-survey,Somewhat challenging,Easy,Somewhat challenging,Neutral,Easy,Somewhat challenging,"I don't think that there's an official or trusted source that developers can refer to when it website security comes in question. A Google search for the best website security practices provides you with a bunch of results, and each website recommends doing different types of things! It is a mess, honestly. I think MDN Web Docs should organize this to make the best and most recommended website security practices easily available and readable."
7,"May 18, 2023 8:45:42 pm",https://developer.mozilla.org/,Somewhat challenging,Very challenging,Easy,Very challenging,Somewhat challenging,Very challenging,"I find it really hard to find general information on safe hosting. Like everybody mentions basic strategies but if most companies need cyber security professionals, what are small developers meant to do?"
8,"May 18, 2023 8:58:01 pm",https://developer.mozilla.org/,Somewhat challenging,Somewhat challenging,Somewhat challenging,Somewhat challenging,Easy,Very challenging,Getting a whole team onboard with focussing on security.
9,"May 18, 2023 9:40:05 pm",https://developer.mozilla.org/,Somewhat challenging,Somewhat challenging,Very challenging,Somewhat challenging,Neutral,Very challenging,
10,"May 18, 2023 9:51:19 pm",https://developer.mozilla.org/,Somewhat challenging,Very challenging,Neutral,Easy,Very easy,Neutral,
11,"May 18, 2023 9:53:38 pm",https://developer.mozilla.org/,Very challenging,Very challenging,Somewhat challenging,Somewhat challenging,Neutral,Somewhat challenging,The most challenging thing is to understand what attack vectors are used to compromise web based services. Understanding the types of vulnerabilities and what to do to mitigate them is challenging as there are many sources of information with questionable reputataion
12,"May 18, 2023 11:06:47 pm",https://developer.mozilla.org/,Somewhat challenging,Neutral,Very challenging,Neutral,Easy,Somewhat challenging,
